x,y,which,b0,b1,b2
-12.625,14.875,s3: poly,2092.2943947378076,-211.16780973846215,5.320086332549544
-7.875,12.375,s3: poly,2648.8766275233697,-274.5940552310826,7.114790730269948
-7.875,12.625,s3: poly,2675.3274125599064,-275.86671459055043,7.1091115737084865
-12.625,14.125,s3: poly,2467.0568528396248,-250.63884821560455,6.3576427173991394
-11.375,14.375,s3: poly,3096.9248112482546,-309.70614570308703,7.730105706940707
-12.125,12.625,s3: poly,2920.5989601127003,-306.0602812510712,8.008160289815374
-11.375,16.625,s3: poly,1382.593143258554,-136.99684850537784,3.386478140852417
-9.375,12.875,s3: poly,3040.6827814789444,-313.5185200280807,8.076027179348712
-5.625,9.375,s3: poly,-528.4032013035943,26.917234078555417,0.07530764976615537
-12.375,11.375,s3: poly,979.7895979607154,-140.62821749042257,4.651043282625109
-12.125,10.375,s3: poly,-1742.3325609096482,115.44762636275249,-1.2956885577039614
-13.875,16.125,s3: poly,1500.4232415311028,-148.80052815715146,3.6819385913926603
-7.375,16.625,s3: poly,1651.3748303476957,-161.07496776774585,3.9142371728824648
-9.625,15.125,s3: poly,2788.660390588514,-275.47807400553774,6.787324896386775
-7.625,9.625,s3: poly,538.9551610748161,-82.80048686694528,2.887658381162947
-12.375,13.375,s3: poly,2898.554601361364,-296.339157788657,7.566318567111543
-12.375,14.125,s3: poly,2634.799230225553,-266.5783956070914,6.733550144603451
-12.375,14.375,s3: poly,2629.3153066862237,-264.31204848369697,6.6319326362508075
-12.375,14.625,s3: poly,2540.885951373166,-254.69103987164718,6.37167110754913
-12.375,14.875,s3: poly,2298.0200597961807,-230.20241559736215,5.754996472248915
-12.125,10.625,s3: poly,-929.976147459571,40.46247619153408,0.4086484703554131
-12.125,10.875,s3: poly,-565.4384884939029,7.663159097300385,1.1263835193393292
-12.125,11.125,s3: poly,403.6534614619856,-83.45850049327672,3.2417797738562806
-12.125,11.375,s3: poly,1441.6898124498873,-180.96982323475382,5.504183935838514
-12.125,13.375,s3: poly,2733.925710953563,-281.24329350131563,7.2246441907412136
-12.125,13.625,s3: poly,2923.1215784105502,-296.9080900809727,7.529855718224858
-12.125,13.875,s3: poly,2839.3398184796997,-288.1680118614766,7.3020853652665005
-12.125,14.125,s3: poly,2629.125705881273,-266.57570063419706,6.748413373518355
-12.125,14.375,s3: poly,2846.416675717286,-285.49073670680554,7.146772031809537
-12.125,14.625,s3: poly,2627.278240904117,-262.69503292662364,6.554765358162363
-12.125,14.875,s3: poly,2298.707883873109,-230.56641069047848,5.771796184896439
-12.125,15.125,s3: poly,2232.572328093813,-223.56241881958286,5.58682237937877
-11.875,10.625,s3: poly,-445.3976294772974,-2.754671261347332,1.3511750681942483
-11.875,10.875,s3: poly,97.86966619969604,-53.36042068003241,2.5059510939747596
-11.875,11.125,s3: poly,440.7835708821152,-84.52979092567686,3.1977208805207744
-11.875,11.375,s3: poly,1344.397649894559,-168.23302585438555,5.104709825377819
-11.875,12.375,s3: poly,2941.670725170132,-312.4234316262071,8.280645897367592
-11.875,13.125,s3: poly,3047.043012281204,-312.6352560259073,8.012276106792331
-11.875,13.375,s3: poly,2999.1870887217606,-304.9807591729986,7.745131083995868
-11.875,13.625,s3: poly,3021.3334720471553,-306.5933366758867,7.768250345152064
-11.875,13.875,s3: poly,2900.9048364695122,-293.93514197155423,7.435645281368391
-11.875,14.125,s3: poly,2778.9162464608485,-280.9000152405143,7.088742860424297
-11.875,14.375,s3: poly,2643.842880679766,-266.05134167753886,6.683608822982075
-11.875,14.625,s3: poly,2572.3320205658397,-257.7548013370631,6.445883438343627
-11.875,14.875,s3: poly,2578.8328370951067,-257.21223263776307,6.401056300787757
-11.875,15.125,s3: poly,2476.8888584525375,-246.62150998454527,6.126283305282524
-11.875,15.375,s3: poly,2267.351187064967,-225.72754833066335,5.605969435900642
