model,term,estimate,std.error,statistic,p.value,id
lm,(Intercept),-1352.00546194459,55.4970508696361,-24.3617532960533,8.31E-74,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
lm,sst,57.3497037219812,2.21294931813417,25.9155070800876,2.25E-79,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
poly,(Intercept),7627.6475821302,1053.05816322178,7.24332980696314,3.55E-12,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
poly,"poly(sst, 2, raw = TRUE)1",-659.840771234468,84.0349417717043,-7.85198106077162,6.91E-14,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
poly,"poly(sst, 2, raw = TRUE)2",14.2693528381145,1.6715044676489,8.53683200630952,6.48E-16,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
step,(Intercept),-2613.14555314106,198.226536504983,-13.1826222624607,1.07E-31,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
step,nino12,36.8180523995373,1.53953125328267,23.9151055368522,7.82E-72,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
step,tni,-17.8233029177489,2.11199679827752,-8.43907667487234,1.32E-15,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
step,nino34,77.8275235290533,6.06777661683572,12.8263659728528,2.15E-30,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
step,nino4,-9.63874313230331,4.31592590371302,-2.23329671253416,0.02625688448329,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
step,oni,-116.288401240569,6.5196398880823,-17.8366295127957,3.39E-49,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
nls,a,2.03E-06,2.01E-06,1.01280704187996,0.311947300130013,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
nls,b,0.682979711703503,0.03665981018982,18.6302031616398,2.09E-52,4_s1_m1_r3_Bamako-Senou_-7.875_12.375
lm,(Intercept),-2952.7403026808,140.317612744724,-21.0432621031875,2.76E-61,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
lm,sst,113.111165175521,5.22702687315446,21.6396754637804,1.67E-63,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
poly,(Intercept),36665.052496105,5049.16583411442,7.26160591683868,3.24E-12,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
poly,"poly(sst, 2, raw = TRUE)1",-2842.36644486541,376.575486692156,-7.54793273941646,5.22E-13,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
poly,"poly(sst, 2, raw = TRUE)2",55.0804905372285,7.01757861153878,7.84893103251618,7.29E-14,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,(Intercept),20308.1367855832,5315.83451746625,3.82031019190999,1.62E-04,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,sst,71.7579020160967,9.05084179438081,7.92831248698296,4.49E-14,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
step,mslp,-19.4059739931141,5.32539549795087,-3.64404371479663,3.17E-04,5_s2_m1_r3_Bamako-Senou_-7.875_12.375
